model,k,Aggregate,Decoding mode,Sampling mode,Method,Prompt,Trivia,,,Trivia Random S=10,HotPot,,
,,,,,,,1,11,111,11,1,11,111
Llama 3.1 8B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,62.2,,-,,10.2,
Llama 3.1 8B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,66.2,,-,,,
Llama 3.1 8B,10,TRUE,P(True),Temperature,P,Step by Step,,,,,,14.4,
Llama 3.1 8B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,68.2,,65.4,,14.8,
Llama 3.1 8B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,66,,,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,67.4,,66,,14.4,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,66.8,,-,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,66.4,,66.6,,15,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,68,,68,,14.8,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,66.8,,65.8,,15.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,68,,68,,15.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,58.2,,-,,,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,67.4,,62.8,,15.2,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,68.2,,66.6,,14.4,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,66,,62.4,,13.8,
Llama 3.1 8B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,67.6,,64.6,,12.6,
,,,,,,,,,,,,,
Mistral 7B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,37,,,,7.2,
Mistral 7B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,52,,,,11,
Mistral 7B,10,TRUE,P(True),Temperature,P,Step by Step,,43.2,,,,6.4,
Mistral 7B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,55.4,,,,10.2,
Mistral 7B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,54.4,,,,10.2,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,53.4,,,,11.4,
Mistral 7B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,55.2,,,,9.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,55.8,,,,10.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,54,,,,11,
Mistral 7B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,,,,,,
Mistral 7B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,55.4,,,,10.8,
Mistral 7B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,53.4,,,,10,
Mistral 7B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,53.4,,,,11,
,,,,,,,,,,,,,
Olmo 2 7B,10,-,Self-Const,Temperature,Majority vote,Step by Step,,47,,,,8.6,
Olmo 2 7B,10,TRUE,CoT Decoding,First Toekn,Conf,Step by Step,,51.8,,,,9.2,
Olmo 2 7B,10,TRUE,P(True),Temperature,P,Step by Step,,49,,,,8.6,
Olmo 2 7B,10,TRUE,Greedy,-,-,Step by Step,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Conf,Step by Step,,51.4,,,,10.4,
Olmo 2 7B,10,TRUE,All Numbers,First Toekn,Conf,Step by Step,,51.8,,,,9.6,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Min Conf,Step by Step,,51.8,,,,9.4,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Max Conf,Step by Step,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Conf Harmonic Mean,Step by Step,,49.8,,,,8.4,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,P(T) + ,Step by Step,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,P(T) *,Step by Step,,50.2,,,,10,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Conf * P(Token),Step by Step,,51.8,,,,9.6,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,H(P),Step by Step,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Min P(T)+++,Step by Step,,,,,,,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Weighted_Mean,Step by Step,,50.4,,,,9.8,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,Min P(T) ***,Step by Step,,52.6,,,,8.8,
Olmo 2 7B,10,TRUE,All Numbers,Temperature,HMean P(T)***,Step by Step,,51.8,,,,9.8,